county,borough,language,speaker_num,lang_family
5,Bronx,Korean,1455,Asian and Pacific Island
47,Brooklyn,Korean,5921,Asian and Pacific Island
85,Staten Island,Korean,1574,Asian and Pacific Island
81,Queens,Korean,40194,Asian and Pacific Island
61,Manhattan,Korean,14539,Asian and Pacific Island
5,Bronx,Hmong,0,Asian and Pacific Island
47,Brooklyn,Hmong,62,Asian and Pacific Island
85,Staten Island,Hmong,0,Asian and Pacific Island
81,Queens,Hmong,183,Asian and Pacific Island
61,Manhattan,Hmong,0,Asian and Pacific Island
5,Bronx,Vietnamese,3369,Asian and Pacific Island
47,Brooklyn,Vietnamese,2906,Asian and Pacific Island
85,Staten Island,Vietnamese,39,Asian and Pacific Island
81,Queens,Vietnamese,4694,Asian and Pacific Island
61,Manhattan,Vietnamese,1467,Asian and Pacific Island
5,Bronx,Khmer,1292,Asian and Pacific Island
47,Brooklyn,Khmer,265,Asian and Pacific Island
85,Staten Island,Khmer,0,Asian and Pacific Island
81,Queens,Khmer,1675,Asian and Pacific Island
61,Manhattan,Khmer,22,Asian and Pacific Island
5,Bronx,Other Tai-Kadai,66,Asian and Pacific Island
47,Brooklyn,Other Tai-Kadai,357,Asian and Pacific Island
85,Staten Island,Other Tai-Kadai,0,Asian and Pacific Island
81,Queens,Other Tai-Kadai,5472,Asian and Pacific Island
61,Manhattan,Other Tai-Kadai,1061,Asian and Pacific Island
5,Bronx,Other Asian,307,Asian and Pacific Island
47,Brooklyn,Other Asian,13704,Asian and Pacific Island
85,Staten Island,Other Asian,1261,Asian and Pacific Island
81,Queens,Other Asian,13935,Asian and Pacific Island
61,Manhattan,Other Asian,1364,Asian and Pacific Island
5,Bronx,Tagalog,4129,Asian and Pacific Island
47,Brooklyn,Tagalog,4758,Asian and Pacific Island
85,Staten Island,Tagalog,2992,Asian and Pacific Island
81,Queens,Tagalog,36908,Asian and Pacific Island
61,Manhattan,Tagalog,3937,Asian and Pacific Island
5,Bronx,Other Austronesian,334,Asian and Pacific Island
47,Brooklyn,Other Austronesian,899,Asian and Pacific Island
85,Staten Island,Other Austronesian,0,Asian and Pacific Island
81,Queens,Other Austronesian,3558,Asian and Pacific Island
61,Manhattan,Other Austronesian,929,Asian and Pacific Island
5,Bronx,Arabic,8748,Other
47,Brooklyn,Arabic,30680,Other
85,Staten Island,Arabic,12313,Other
81,Queens,Arabic,11544,Other
61,Manhattan,Arabic,7912,Other
5,Bronx,Hebrew,1133,Other
47,Brooklyn,Hebrew,17872,Other
85,Staten Island,Hebrew,1359,Other
81,Queens,Hebrew,6667,Other
61,Manhattan,Hebrew,9976,Other
5,Bronx,Other Afro-Asiatic,5709,Other
47,Brooklyn,Other Afro-Asiatic,923,Other
85,Staten Island,Other Afro-Asiatic,0,Other
81,Queens,Other Afro-Asiatic,801,Other
61,Manhattan,Other Afro-Asiatic,2193,Other
5,Bronx,Other West African,42001,Other
47,Brooklyn,Other West African,11209,Other
85,Staten Island,Other West African,4413,Other
81,Queens,Other West African,6640,Other
61,Manhattan,Other West African,5004,Other
5,Bronx,Other African,443,Other
47,Brooklyn,Other African,1361,Other
85,Staten Island,Other African,27,Other
81,Queens,Other African,890,Other
61,Manhattan,Other African,378,Other
5,Bronx,Navajo,0,Other
47,Brooklyn,Navajo,0,Other
85,Staten Island,Navajo,0,Other
81,Queens,Navajo,0,Other
61,Manhattan,Navajo,0,Other
5,Bronx,Other Native American,110,Other
47,Brooklyn,Other Native American,0,Other
85,Staten Island,Other Native American,245,Other
81,Queens,Other Native American,306,Other
61,Manhattan,Other Native American,14,Other
