county,borough,language,speaker_num,lang_family
5,Bronx,Spanish,556951.0,Indo-European
47,Brooklyn,Spanish,398837.0,Indo-European
61,Manhattan,Spanish,321861.0,Indo-European
81,Queens,Spanish,487565.0,Indo-European
85,Staten Island,Spanish,,Indo-European
5,Bronx,French,12145.0,Indo-European
47,Brooklyn,French,31583.0,Indo-European
61,Manhattan,French,30390.0,Indo-European
81,Queens,French,17687.0,Indo-European
85,Staten Island,French,,Indo-European
5,Bronx,French Creole,4119.0,Indo-European
47,Brooklyn,French Creole,61519.0,Indo-European
61,Manhattan,French Creole,1353.0,Indo-European
81,Queens,French Creole,20904.0,Indo-European
85,Staten Island,French Creole,,Indo-European
5,Bronx,Italian,13098.0,Indo-European
47,Brooklyn,Italian,31917.0,Indo-European
61,Manhattan,Italian,8995.0,Indo-European
81,Queens,Italian,33995.0,Indo-European
85,Staten Island,Italian,,Indo-European
5,Bronx,Portuguese,482.0,Indo-European
47,Brooklyn,Portuguese,1812.0,Indo-European
61,Manhattan,Portuguese,4257.0,Indo-European
81,Queens,Portuguese,7007.0,Indo-European
85,Staten Island,Portuguese,,Indo-European
5,Bronx,German,1938.0,Indo-European
47,Brooklyn,German,4118.0,Indo-European
61,Manhattan,German,10484.0,Indo-European
81,Queens,German,6125.0,Indo-European
85,Staten Island,German,,Indo-European
5,Bronx,Yiddish,425.0,Indo-European
47,Brooklyn,Yiddish,72562.0,Indo-European
61,Manhattan,Yiddish,1550.0,Indo-European
81,Queens,Yiddish,2473.0,Indo-European
85,Staten Island,Yiddish,,Indo-European
5,Bronx,Other Germanic,608.0,Indo-European
47,Brooklyn,Other Germanic,587.0,Indo-European
61,Manhattan,Other Germanic,2134.0,Indo-European
81,Queens,Other Germanic,1441.0,Indo-European
85,Staten Island,Other Germanic,,Indo-European
5,Bronx,Other Scandinavian,67.0,Indo-European
47,Brooklyn,Other Scandinavian,782.0,Indo-European
61,Manhattan,Other Scandinavian,2383.0,Indo-European
81,Queens,Other Scandinavian,201.0,Indo-European
85,Staten Island,Other Scandinavian,,Indo-European
5,Bronx,Greek,2221.0,Indo-European
47,Brooklyn,Greek,4456.0,Indo-European
61,Manhattan,Greek,3762.0,Indo-European
81,Queens,Greek,35809.0,Indo-European
85,Staten Island,Greek,,Indo-European
5,Bronx,Russian,5774.0,Indo-European
47,Brooklyn,Russian,137872.0,Indo-European
61,Manhattan,Russian,8719.0,Indo-European
81,Queens,Russian,30548.0,Indo-European
85,Staten Island,Russian,,Indo-European
5,Bronx,Polish,659.0,Indo-European
47,Brooklyn,Polish,26911.0,Indo-European
61,Manhattan,Polish,2263.0,Indo-European
81,Queens,Polish,20557.0,Indo-European
85,Staten Island,Polish,,Indo-European
5,Bronx,Serbo-Croatian,1302.0,Indo-European
47,Brooklyn,Serbo-Croatian,3315.0,Indo-European
61,Manhattan,Serbo-Croatian,3428.0,Indo-European
81,Queens,Serbo-Croatian,10310.0,Indo-European
85,Staten Island,Serbo-Croatian,,Indo-European
5,Bronx,Other Slavic,2549.0,Indo-European
47,Brooklyn,Other Slavic,7467.0,Indo-European
61,Manhattan,Other Slavic,3019.0,Indo-European
81,Queens,Other Slavic,7671.0,Indo-European
85,Staten Island,Other Slavic,,Indo-European
5,Bronx,Armenian,171.0,Indo-European
47,Brooklyn,Armenian,777.0,Indo-European
61,Manhattan,Armenian,402.0,Indo-European
81,Queens,Armenian,2266.0,Indo-European
85,Staten Island,Armenian,,Indo-European
5,Bronx,Persian,261.0,Indo-European
47,Brooklyn,Persian,1785.0,Indo-European
61,Manhattan,Persian,1600.0,Indo-European
81,Queens,Persian,4817.0,Indo-European
85,Staten Island,Persian,,Indo-European
5,Bronx,Gujarati,51.0,Indo-European
47,Brooklyn,Gujarati,2821.0,Indo-European
61,Manhattan,Gujarati,703.0,Indo-European
81,Queens,Gujarati,5375.0,Indo-European
85,Staten Island,Gujarati,,Indo-European
5,Bronx,Hindi,1011.0,Indo-European
47,Brooklyn,Hindi,6581.0,Indo-European
61,Manhattan,Hindi,3664.0,Indo-European
81,Queens,Hindi,15664.0,Indo-European
85,Staten Island,Hindi,,Indo-European
5,Bronx,Urdu,1503.0,Indo-European
47,Brooklyn,Urdu,9481.0,Indo-European
61,Manhattan,Urdu,1353.0,Indo-European
81,Queens,Urdu,15702.0,Indo-European
85,Staten Island,Urdu,,Indo-European
5,Bronx,Other Indic,7643.0,Indo-European
